player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,rad_win
Clockwerk,Wraith King,Bounty Hunter,Death Prophet,Pudge,Keeper of the Light,Axe,Earthshaker,Sniper,Zeus,False
Lifestealer,Drow Ranger,Spirit Breaker,Winter Wyvern,Weaver,Pudge,Bloodseeker,Visage,Phantom Lancer,Tiny,False
Arc Warden,Drow Ranger,Sven,Outworld Devourer,Luna,Morphling,Silencer,Necrophos,Omniknight,Keeper of the Light,False
Mirana,Clockwerk,Luna,Sniper,Bane,Treant Protector,Dazzle,Ember Spirit,Batrider,Nature's Prophet,False
Timbersaw,Wraith King,Storm Spirit,Juggernaut,Slark,Sven,Invoker,Shadow Shaman,Bane,Templar Assassin,False
Jakiro,Lycan,Troll Warlord,Mirana,Nature's Prophet,Sand King,Tidehunter,Alchemist,Sven,Night Stalker,True
Witch Doctor,Abaddon,Dark Seer,Queen of Pain,Drow Ranger,Bane,Visage,Mirana,Huskar,Oracle,False
Bloodseeker,Keeper of the Light,Invoker,Sven,Juggernaut,Crystal Maiden,Medusa,Monkey King,Tinker,Jakiro,False
Pudge,Treant Protector,Queen of Pain,Centaur Warrunner,Sniper,Slark,Lycan,Invoker,Bounty Hunter,Crystal Maiden,True
Pudge,Dark Seer,Nyx Assassin,Terrorblade,Underlord,Tiny,Lina,Jakiro,Medusa,Bane,True
Drow Ranger,Techies,Necrophos,Mirana,Shadow Fiend,Batrider,Tiny,Nature's Prophet,Invoker,Ancient Apparition,False
Pudge,Troll Warlord,Sniper,Clinkz,Weaver,Juggernaut,Windranger,Anti-Mage,Ogre Magi,Bloodseeker,True
Mirana,Nature's Prophet,Ogre Magi,Invoker,Morphling,Pudge,Windranger,Wraith King,Shadow Shaman,Sniper,False
Pudge,Viper,Keeper of the Light,Tinker,Ember Spirit,Omniknight,Dazzle,Kunkka,Venomancer,Axe,True
Wraith King,Viper,Spirit Breaker,Kunkka,Shadow Shaman,Morphling,Ursa,Monkey King,Lich,Sniper,False
Legion Commander,Techies,Timbersaw,Faceless Void,Medusa,Lion,Monkey King,Visage,Kunkka,Queen of Pain,True
Nyx Assassin,Broodmother,Tusk,Windranger,Legion Commander,Morphling,Slark,Necrophos,Ancient Apparition,Beastmaster,True
Bane,Weaver,Lina,Omniknight,Bloodseeker,Arc Warden,Ogre Magi,Axe,Viper,Shadow Shaman,True
Slark,Sven,Templar Assassin,Jakiro,Spirit Breaker,Phantom Lancer,Wraith King,Clockwerk,Axe,Drow Ranger,False
Skywrath Mage,Chaos Knight,Earthshaker,Necrophos,Weaver,Sand King,Sven,Beastmaster,Windranger,Lion,False
Sniper,Chaos Knight,Slardar,Pudge,Lich,Troll Warlord,Nyx Assassin,Lion,Phantom Assassin,Luna,False
Clockwerk,Sniper,Timbersaw,Crystal Maiden,Skywrath Mage,Earthshaker,Spectre,Phantom Assassin,Silencer,Rubick,True
Ember Spirit,Axe,Sniper,Dragon Knight,Slardar,Tiny,Bane,Lion,Riki,Tusk,False
Wraith King,Terrorblade,Dragon Knight,Dazzle,Venomancer,Storm Spirit,Sand King,Weaver,Naga Siren,Witch Doctor,True
Slark,Jakiro,Sniper,Outworld Devourer,Bristleback,Wraith King,Phantom Assassin,Witch Doctor,Earthshaker,Sven,True
Witch Doctor,Timbersaw,Bounty Hunter,Troll Warlord,Slark,Pugna,Medusa,Sven,Phantom Lancer,Shadow Shaman,False
Naga Siren,Pugna,Ember Spirit,Clinkz,Drow Ranger,Treant Protector,Queen of Pain,Mirana,Razor,Viper,True
Faceless Void,Ogre Magi,Lion,Anti-Mage,Juggernaut,Templar Assassin,Tusk,Bristleback,Queen of Pain,Bounty Hunter,True
Timbersaw,Ogre Magi,Jakiro,Pudge,Ursa,Viper,Alchemist,Anti-Mage,Riki,Outworld Devourer,False
Bloodseeker,Phantom Lancer,Undying,Bane,Riki,Puck,Slardar,Sniper,Troll Warlord,Lycan,True
Rubick,Earthshaker,Slardar,Puck,Troll Warlord,Slark,Crystal Maiden,Invoker,Magnus,Night Stalker,True
Legion Commander,Ursa,Pugna,Slark,Invoker,Ember Spirit,Earth Spirit,Windranger,Skywrath Mage,Night Stalker,True
Night Stalker,Sand King,Pudge,Ogre Magi,Chaos Knight,Drow Ranger,Wraith King,Huskar,Windranger,Phantom Assassin,True
Leshrac,Riki,Vengeful Spirit,Razor,Tiny,Troll Warlord,Ursa,Luna,Juggernaut,Weaver,False
Enigma,Monkey King,Viper,Crystal Maiden,Lina,Slardar,Death Prophet,Bristleback,Slark,Mirana,True
Slark,Slardar,Templar Assassin,Kunkka,Chaos Knight,Juggernaut,Legion Commander,Razor,Dragon Knight,Faceless Void,False
Monkey King,Weaver,Earthshaker,Templar Assassin,Spirit Breaker,Crystal Maiden,Troll Warlord,Lone Druid,Vengeful Spirit,Broodmother,False
