player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,rad_win
Winter Wyvern,Outworld Devourer,Tidehunter,Sand King,Weaver,Ursa,Gyrocopter,Ogre Magi,Sniper,Terrorblade,False
Sven,Clockwerk,Slardar,Bloodseeker,Sniper,Alchemist,Spirit Breaker,Invoker,Clinkz,Viper,False
Sniper,Nature's Prophet,Viper,Monkey King,Dark Seer,Tinker,Clinkz,Pudge,Venomancer,Keeper of the Light,False
Omniknight,Razor,Death Prophet,Spectre,Necrophos,Axe,Troll Warlord,Dazzle,Tinker,Invoker,True
Medusa,Tiny,Shadow Fiend,Luna,Death Prophet,Lina,Skywrath Mage,Nature's Prophet,Sven,Viper,True
Windranger,Monkey King,Skywrath Mage,Arc Warden,Venomancer,Phantom Lancer,Phoenix,Bounty Hunter,Riki,Bloodseeker,True
Ursa,Outworld Devourer,Anti-Mage,Tinker,Shadow Demon,Bounty Hunter,Nature's Prophet,Phantom Lancer,Kunkka,Winter Wyvern,False
Monkey King,Earthshaker,Wraith King,Shadow Fiend,Shadow Demon,Kunkka,Weaver,Omniknight,Invoker,Pudge,True
Pudge,Lina,Jakiro,Legion Commander,Luna,Slark,Warlock,Necrophos,Kunkka,Windranger,True
Naga Siren,Centaur Warrunner,Legion Commander,Timbersaw,Mirana,Viper,Treant Protector,Jakiro,Bane,Luna,True
Rubick,Ursa,Monkey King,Anti-Mage,Centaur Warrunner,Nyx Assassin,Tiny,Earthshaker,Juggernaut,Puck,True
Vengeful Spirit,Luna,Beastmaster,Abaddon,Drow Ranger,Legion Commander,Terrorblade,Underlord,Morphling,Dragon Knight,True
Windranger,Juggernaut,Outworld Devourer,Pudge,Slark,Sniper,Lina,Wraith King,Spectre,Spirit Breaker,False
Enigma,Chen,Beastmaster,Lich,Clinkz,Phantom Lancer,Bloodseeker,Slardar,Spectre,Faceless Void,True
Windranger,Death Prophet,Necrophos,Jakiro,Viper,Juggernaut,Nyx Assassin,Lifestealer,Legion Commander,Wraith King,False
Shadow Shaman,Shadow Demon,Venomancer,Monkey King,Anti-Mage,Gyrocopter,Sven,Kunkka,Outworld Devourer,Phantom Assassin,False
Invoker,Bristleback,Bounty Hunter,Slark,Ancient Apparition,Visage,Tiny,Io,Rubick,Troll Warlord,True
Troll Warlord,Puck,Doom,Clinkz,Templar Assassin,Sniper,Monkey King,Bloodseeker,Crystal Maiden,Kunkka,False
Shadow Shaman,Spirit Breaker,Pugna,Bloodseeker,Spectre,Sven,Sand King,Outworld Devourer,Keeper of the Light,Juggernaut,True
Necrophos,Sand King,Nyx Assassin,Phoenix,Luna,Bristleback,Elder Titan,Templar Assassin,Lina,Weaver,True
Storm Spirit,Abaddon,Sniper,Mirana,Crystal Maiden,Troll Warlord,Ogre Magi,Silencer,Elder Titan,Sand King,True
Sniper,Kunkka,Troll Warlord,Shadow Shaman,Lina,Storm Spirit,Leshrac,Wraith King,Drow Ranger,Sven,True
Clinkz,Wraith King,Bane,Huskar,Luna,Crystal Maiden,Drow Ranger,Razor,Kunkka,Shadow Shaman,False
Doom,Terrorblade,Huskar,Viper,Ember Spirit,Phantom Assassin,Abaddon,Bounty Hunter,Alchemist,Anti-Mage,True
Troll Warlord,Chaos Knight,Dark Seer,Io,Sven,Shadow Fiend,Anti-Mage,Abaddon,Enigma,Bane,False
Bloodseeker,Disruptor,Nature's Prophet,Juggernaut,Doom,Kunkka,Arc Warden,Terrorblade,Storm Spirit,Riki,True
Warlock,Viper,Chaos Knight,Kunkka,Enigma,Disruptor,Invoker,Necrophos,Anti-Mage,Axe,True
Broodmother,Pudge,Crystal Maiden,Bloodseeker,Meepo,Invoker,Centaur Warrunner,Tinker,Riki,Pugna,True
Windranger,Shadow Fiend,Tiny,Rubick,Weaver,Earthshaker,Lion,Bristleback,Nature's Prophet,Anti-Mage,False
Night Stalker,Spirit Breaker,Venomancer,Kunkka,Pugna,Elder Titan,Broodmother,Monkey King,Huskar,Faceless Void,True
Lifestealer,Dazzle,Phoenix,Medusa,Weaver,Crystal Maiden,Queen of Pain,Troll Warlord,Enchantress,Winter Wyvern,True
Outworld Devourer,Razor,Ogre Magi,Vengeful Spirit,Spirit Breaker,Shadow Demon,Broodmother,Mirana,Bristleback,Alchemist,True
Broodmother,Spectre,Anti-Mage,Legion Commander,Elder Titan,Sven,Bounty Hunter,Phantom Assassin,Ogre Magi,Monkey King,True
Axe,Doom,Sand King,Sven,Arc Warden,Invoker,Crystal Maiden,Vengeful Spirit,Clockwerk,Templar Assassin,True
Alchemist,Troll Warlord,Winter Wyvern,Centaur Warrunner,Zeus,Arc Warden,Tinker,Earthshaker,Lifestealer,Juggernaut,True
Disruptor,Faceless Void,Wraith King,Medusa,Lifestealer,Luna,Undying,Juggernaut,Sniper,Naga Siren,True
Terrorblade,Slark,Drow Ranger,Enchantress,Venomancer,Dazzle,Faceless Void,Winter Wyvern,Dragon Knight,Abaddon,False
Phantom Assassin,Clockwerk,Sven,Sand King,Storm Spirit,Skywrath Mage,Spectre,Morphling,Wraith King,Shadow Shaman,True
Dark Seer,Bane,Sniper,Night Stalker,Nyx Assassin,Broodmother,Warlock,Juggernaut,Faceless Void,Enigma,True
Phantom Assassin,Shadow Fiend,Earth Spirit,Phoenix,Lycan,Lich,Rubick,Weaver,Tiny,Viper,False
Lycan,Lich,Gyrocopter,Arc Warden,Omniknight,Ursa,Drow Ranger,Magnus,Juggernaut,Bloodseeker,True
Nature's Prophet,Anti-Mage,Rubick,Troll Warlord,Zeus,Faceless Void,Riki,Phantom Lancer,Omniknight,Drow Ranger,True
Slark,Gyrocopter,Lion,Keeper of the Light,Skywrath Mage,Kunkka,Necrophos,Nature's Prophet,Sniper,Centaur Warrunner,True
Troll Warlord,Lich,Pugna,Necrophos,Ember Spirit,Underlord,Disruptor,Huskar,Invoker,Meepo,True
Juggernaut,Templar Assassin,Windranger,Troll Warlord,Necrophos,Sven,Silencer,Bloodseeker,Anti-Mage,Wraith King,True
Bounty Hunter,Anti-Mage,Windranger,Phantom Assassin,Luna,Nyx Assassin,Medusa,Necrophos,Alchemist,Jakiro,False
Disruptor,Storm Spirit,Lion,Tusk,Chaos Knight,Earthshaker,Lina,Dazzle,Axe,Luna,True
Skywrath Mage,Omniknight,Huskar,Viper,Pudge,Juggernaut,Magnus,Earth Spirit,Earthshaker,Phantom Assassin,False
Queen of Pain,Sven,Death Prophet,Clinkz,Sniper,Wraith King,Invoker,Lion,Witch Doctor,Juggernaut,True
Enchantress,Spectre,Vengeful Spirit,Axe,Slark,Sniper,Dragon Knight,Sand King,Oracle,Naga Siren,False
Ogre Magi,Broodmother,Night Stalker,Rubick,Sven,Silencer,Necrophos,Luna,Slardar,Spirit Breaker,False
Brewmaster,Crystal Maiden,Monkey King,Nature's Prophet,Phantom Lancer,Shadow Shaman,Oracle,Bloodseeker,Omniknight,Keeper of the Light,False
Spirit Breaker,Ember Spirit,Tinker,Faceless Void,Viper,Pudge,Alchemist,Phantom Assassin,Witch Doctor,Juggernaut,False
Legion Commander,Terrorblade,Treant Protector,Faceless Void,Medusa,Phantom Assassin,Alchemist,Sven,Kunkka,Lina,True
Invoker,Ancient Apparition,Clockwerk,Weaver,Sniper,Keeper of the Light,Dragon Knight,Magnus,Timbersaw,Windranger,True
Pugna,Legion Commander,Shadow Shaman,Monkey King,Invoker,Lich,Wraith King,Necrophos,Bloodseeker,Magnus,True
Doom,Troll Warlord,Skywrath Mage,Kunkka,Centaur Warrunner,Axe,Mirana,Lina,Storm Spirit,Slark,False
Ursa,Io,Wraith King,Earth Spirit,Huskar,Shadow Fiend,Chaos Knight,Terrorblade,Phantom Lancer,Nature's Prophet,False
Pudge,Treant Protector,Phantom Lancer,Invoker,Silencer,Wraith King,Lion,Sniper,Lina,Tusk,True
Spirit Breaker,Necrophos,Ember Spirit,Earthshaker,Warlock,Winter Wyvern,Lion,Centaur Warrunner,Spectre,Legion Commander,True
Necrophos,Bloodseeker,Shadow Demon,Witch Doctor,Monkey King,Magnus,Gyrocopter,Mirana,Lycan,Earthshaker,True
Axe,Tidehunter,Anti-Mage,Crystal Maiden,Shadow Fiend,Necrophos,Slark,Bloodseeker,Mirana,Chaos Knight,True
Venomancer,Sniper,Witch Doctor,Juggernaut,Enchantress,Viper,Bristleback,Puck,Kunkka,Nature's Prophet,True
Earth Spirit,Night Stalker,Venomancer,Drow Ranger,Slark,Witch Doctor,Broodmother,Ogre Magi,Zeus,Abaddon,True
Dark Seer,Shadow Fiend,Lycan,Broodmother,Abaddon,Tiny,Pugna,Death Prophet,Juggernaut,Witch Doctor,False
Nyx Assassin,Monkey King,Shadow Fiend,Enchantress,Anti-Mage,Skywrath Mage,Necrophos,Spectre,Disruptor,Pugna,True
Riki,Meepo,Troll Warlord,Crystal Maiden,Mirana,Viper,Wraith King,Lycan,Ancient Apparition,Invoker,False
Bloodseeker,Pudge,Tinker,Zeus,Phantom Assassin,Sniper,Weaver,Rubick,Axe,Nature's Prophet,True
Weaver,Elder Titan,Chen,Lycan,Vengeful Spirit,Abaddon,Phoenix,Dragon Knight,Earthshaker,Pudge,True
Timbersaw,Centaur Warrunner,Spirit Breaker,Troll Warlord,Dragon Knight,Dazzle,Bloodseeker,Kunkka,Witch Doctor,Tiny,False
Magnus,Ancient Apparition,Queen of Pain,Witch Doctor,Medusa,Drow Ranger,Troll Warlord,Sand King,Bane,Monkey King,True
Bounty Hunter,Kunkka,Windranger,Zeus,Tidehunter,Shadow Shaman,Tinker,Viper,Phantom Assassin,Ursa,True
Huskar,Kunkka,Necrophos,Chaos Knight,Io,Wraith King,Windranger,Drow Ranger,Enigma,Shadow Fiend,False
Necrophos,Drow Ranger,Shadow Shaman,Juggernaut,Bristleback,Storm Spirit,Winter Wyvern,Sand King,Mirana,Nyx Assassin,True
Ursa,Shadow Shaman,Bloodseeker,Windranger,Troll Warlord,Phantom Lancer,Axe,Invoker,Weaver,Sven,False
Weaver,Huskar,Phantom Lancer,Lich,Dazzle,Io,Lifestealer,Tinker,Warlock,Lycan,True
Mirana,Kunkka,Monkey King,Lion,Pudge,Terrorblade,Disruptor,Bristleback,Ogre Magi,Necrophos,True
Medusa,Chen,Razor,Timbersaw,Zeus,Broodmother,Luna,Anti-Mage,Troll Warlord,Vengeful Spirit,True
Alchemist,Windranger,Weaver,Anti-Mage,Ursa,Dragon Knight,Slark,Juggernaut,Razor,Slardar,True
Phantom Assassin,Rubick,Skywrath Mage,Slardar,Windranger,Leshrac,Tiny,Phoenix,Lina,Axe,False
Juggernaut,Weaver,Phantom Assassin,Sniper,Lion,Bloodseeker,Clockwerk,Axe,Wraith King,Rubick,True
Bristleback,Templar Assassin,Slardar,Mirana,Centaur Warrunner,Lich,Invoker,Magnus,Juggernaut,Witch Doctor,False
Ogre Magi,Riki,Phantom Assassin,Ursa,Nature's Prophet,Lich,Drow Ranger,Tidehunter,Mirana,Invoker,True
Night Stalker,Sniper,Tidehunter,Omniknight,Death Prophet,Nature's Prophet,Faceless Void,Disruptor,Luna,Sand King,True
Enchantress,Huskar,Legion Commander,Gyrocopter,Tiny,Queen of Pain,Dazzle,Slark,Shadow Fiend,Batrider,False
Io,Drow Ranger,Venomancer,Tidehunter,Leshrac,Legion Commander,Pudge,Huskar,Timbersaw,Sniper,False
Night Stalker,Drow Ranger,Legion Commander,Sand King,Shadow Shaman,Timbersaw,Lion,Wraith King,Troll Warlord,Tiny,True
Monkey King,Wraith King,Axe,Sniper,Dark Seer,Nyx Assassin,Tiny,Beastmaster,Templar Assassin,Terrorblade,False
Broodmother,Ursa,Silencer,Disruptor,Witch Doctor,Riki,Phantom Lancer,Weaver,Mirana,Monkey King,False
Sniper,Earthshaker,Venomancer,Invoker,Spectre,Viper,Riki,Phantom Lancer,Crystal Maiden,Necrophos,False
Sven,Lina,Night Stalker,Skywrath Mage,Zeus,Techies,Io,Kunkka,Puck,Nature's Prophet,True
Zeus,Shadow Shaman,Axe,Juggernaut,Sniper,Windranger,Phantom Assassin,Death Prophet,Dragon Knight,Legion Commander,False
Faceless Void,Lich,Treant Protector,Venomancer,Nature's Prophet,Death Prophet,Warlock,Abaddon,Tiny,Sniper,False
Bristleback,Warlock,Witch Doctor,Medusa,Chaos Knight,Shadow Fiend,Axe,Spectre,Bloodseeker,Tiny,False
Earthshaker,Venomancer,Lone Druid,Sniper,Sven,Nature's Prophet,Necrophos,Huskar,Bounty Hunter,Axe,False
Troll Warlord,Windranger,Storm Spirit,Tusk,Mirana,Invoker,Tiny,Death Prophet,Faceless Void,Razor,True
Legion Commander,Sniper,Sand King,Templar Assassin,Windranger,Phantom Assassin,Nature's Prophet,Pudge,Slark,Lion,True
Silencer,Dragon Knight,Faceless Void,Disruptor,Bloodseeker,Tidehunter,Terrorblade,Shadow Fiend,Legion Commander,Oracle,True
Phantom Assassin,Crystal Maiden,Necrophos,Ember Spirit,Nyx Assassin,Puck,Warlock,Vengeful Spirit,Skywrath Mage,Terrorblade,False
Phantom Assassin,Ember Spirit,Juggernaut,Naga Siren,Puck,Brewmaster,Death Prophet,Underlord,Weaver,Huskar,False
Clockwerk,Underlord,Necrophos,Alchemist,Lion,Lifestealer,Wraith King,Omniknight,Riki,Slark,True
Sven,Lycan,Ursa,Dazzle,Tinker,Night Stalker,Clockwerk,Naga Siren,Disruptor,Enchantress,True
Zeus,Bristleback,Queen of Pain,Earthshaker,Naga Siren,Phantom Lancer,Arc Warden,Invoker,Spirit Breaker,Riki,False
Nyx Assassin,Medusa,Drow Ranger,Omniknight,Phantom Assassin,Witch Doctor,Faceless Void,Skywrath Mage,Spirit Breaker,Centaur Warrunner,True
Tidehunter,Lich,Phantom Assassin,Invoker,Riki,Meepo,Ursa,Tinker,Underlord,Bounty Hunter,True
Sniper,Juggernaut,Warlock,Treant Protector,Spirit Breaker,Earthshaker,Troll Warlord,Oracle,Venomancer,Ember Spirit,True
Weaver,Axe,Windranger,Juggernaut,Chaos Knight,Night Stalker,Warlock,Io,Earth Spirit,Viper,True
Storm Spirit,Brewmaster,Bloodseeker,Legion Commander,Dragon Knight,Bounty Hunter,Pudge,Alchemist,Enigma,Huskar,True
Phantom Lancer,Sven,Rubick,Shadow Fiend,Juggernaut,Invoker,Silencer,Luna,Legion Commander,Terrorblade,False
Faceless Void,Enigma,Ursa,Phantom Assassin,Monkey King,Ancient Apparition,Lich,Shadow Demon,Spirit Breaker,Witch Doctor,True
Faceless Void,Weaver,Necrophos,Storm Spirit,Underlord,Puck,Leshrac,Troll Warlord,Centaur Warrunner,Silencer,True
Ogre Magi,Anti-Mage,Axe,Legion Commander,Bristleback,Crystal Maiden,Viper,Dragon Knight,Templar Assassin,Jakiro,False
Magnus,Dragon Knight,Lone Druid,Juggernaut,Dazzle,Bristleback,Disruptor,Necrophos,Legion Commander,Phantom Lancer,True
Beastmaster,Keeper of the Light,Lina,Io,Arc Warden,Sniper,Windranger,Slark,Wraith King,Legion Commander,False
Shadow Fiend,Skywrath Mage,Keeper of the Light,Slark,Spirit Breaker,Lich,Venomancer,Broodmother,Windranger,Bloodseeker,False
Dazzle,Spectre,Gyrocopter,Phantom Assassin,Templar Assassin,Disruptor,Mirana,Outworld Devourer,Sniper,Tusk,True
Leshrac,Clinkz,Ursa,Phantom Lancer,Spectre,Slardar,Death Prophet,Spirit Breaker,Treant Protector,Monkey King,True
Ogre Magi,Anti-Mage,Outworld Devourer,Venomancer,Necrophos,Invoker,Lion,Juggernaut,Phoenix,Keeper of the Light,True
Wraith King,Mirana,Nature's Prophet,Earthshaker,Lone Druid,Spirit Breaker,Juggernaut,Ursa,Night Stalker,Gyrocopter,True
Axe,Sven,Anti-Mage,Juggernaut,Rubick,Sniper,Pudge,Chen,Bristleback,Pugna,False
Silencer,Sniper,Riki,Chaos Knight,Lina,Lifestealer,Omniknight,Huskar,Nyx Assassin,Troll Warlord,True
Troll Warlord,Kunkka,Viper,Sniper,Juggernaut,Sven,Chaos Knight,Zeus,Axe,Jakiro,False
Pudge,Venomancer,Templar Assassin,Slark,Broodmother,Huskar,Faceless Void,Crystal Maiden,Juggernaut,Riki,True
Slark,Wraith King,Lina,Io,Monkey King,Invoker,Ursa,Enigma,Broodmother,Ogre Magi,False
Wraith King,Lina,Faceless Void,Bane,Drow Ranger,Night Stalker,Monkey King,Terrorblade,Slark,Rubick,True
Spectre,Wraith King,Sand King,Dazzle,Mirana,Pudge,Viper,Ember Spirit,Lion,Phantom Assassin,True
Abaddon,Earthshaker,Enigma,Dark Seer,Spirit Breaker,Tusk,Bristleback,Gyrocopter,Slark,Winter Wyvern,True
Legion Commander,Slardar,Monkey King,Ogre Magi,Anti-Mage,Ember Spirit,Naga Siren,Pudge,Slark,Witch Doctor,False
Alchemist,Sniper,Bloodseeker,Skywrath Mage,Windranger,Necrophos,Vengeful Spirit,Silencer,Lone Druid,Drow Ranger,False
Clinkz,Kunkka,Phantom Lancer,Witch Doctor,Spirit Breaker,Drow Ranger,Viper,Windranger,Weaver,Chen,True
Bane,Necrophos,Huskar,Bloodseeker,Spirit Breaker,Monkey King,Invoker,Ursa,Legion Commander,Outworld Devourer,True
Lion,Tiny,Nyx Assassin,Luna,Magnus,Chen,Troll Warlord,Techies,Dragon Knight,Sniper,True
Legion Commander,Spirit Breaker,Monkey King,Magnus,Nyx Assassin,Venomancer,Sniper,Shadow Fiend,Spectre,Vengeful Spirit,False
Anti-Mage,Troll Warlord,Omniknight,Brewmaster,Spectre,Bristleback,Juggernaut,Underlord,Bloodseeker,Magnus,True
Pudge,Queen of Pain,Sniper,Weaver,Earth Spirit,Meepo,Bloodseeker,Juggernaut,Shadow Fiend,Venomancer,True
Clinkz,Centaur Warrunner,Night Stalker,Anti-Mage,Crystal Maiden,Undying,Meepo,Queen of Pain,Silencer,Nature's Prophet,True
Kunkka,Lifestealer,Bristleback,Phantom Assassin,Earthshaker,Riki,Necrophos,Meepo,Viper,Spectre,False
Razor,Venomancer,Windranger,Winter Wyvern,Dragon Knight,Timbersaw,Slark,Shadow Shaman,Rubick,Bounty Hunter,False
Phantom Lancer,Rubick,Legion Commander,Invoker,Spectre,Anti-Mage,Ember Spirit,Mirana,Underlord,Ogre Magi,True
Leshrac,Night Stalker,Keeper of the Light,Abaddon,Enigma,Monkey King,Bloodseeker,Warlock,Broodmother,Slark,True
Juggernaut,Weaver,Shadow Shaman,Queen of Pain,Spirit Breaker,Anti-Mage,Pudge,Enigma,Alchemist,Phantom Assassin,True
Windranger,Bloodseeker,Bane,Ember Spirit,Nyx Assassin,Templar Assassin,Spectre,Monkey King,Techies,Venomancer,True
Undying,Skywrath Mage,Shadow Shaman,Drow Ranger,Bloodseeker,Sand King,Brewmaster,Puck,Dragon Knight,Troll Warlord,True
Terrorblade,Sand King,Phantom Assassin,Lich,Lycan,Leshrac,Earthshaker,Venomancer,Jakiro,Faceless Void,True
Bristleback,Lion,Arc Warden,Troll Warlord,Meepo,Shadow Fiend,Zeus,Juggernaut,Pudge,Tiny,False
Anti-Mage,Razor,Faceless Void,Enigma,Beastmaster,Clockwerk,Pudge,Centaur Warrunner,Visage,Dragon Knight,False
Ogre Magi,Meepo,Tidehunter,Visage,Bloodseeker,Lycan,Riki,Invoker,Luna,Kunkka,False
Witch Doctor,Ursa,Lich,Sven,Viper,Necrophos,Juggernaut,Shadow Fiend,Spectre,Luna,True
Broodmother,Clinkz,Riki,Visage,Clockwerk,Nyx Assassin,Enigma,Magnus,Wraith King,Undying,False
Drow Ranger,Sniper,Vengeful Spirit,Luna,Earthshaker,Phantom Assassin,Earth Spirit,Troll Warlord,Legion Commander,Wraith King,True
Invoker,Nature's Prophet,Silencer,Omniknight,Spirit Breaker,Troll Warlord,Chaos Knight,Disruptor,Bloodseeker,Sniper,True
Outworld Devourer,Huskar,Shadow Fiend,Pugna,Axe,Kunkka,Disruptor,Clinkz,Juggernaut,Shadow Demon,True
Clinkz,Doom,Sniper,Pugna,Disruptor,Alchemist,Wraith King,Timbersaw,Night Stalker,Storm Spirit,True
Elder Titan,Phantom Assassin,Huskar,Skywrath Mage,Invoker,Storm Spirit,Jakiro,Monkey King,Necrophos,Slark,True
Wraith King,Pugna,Earthshaker,Anti-Mage,Windranger,Necrophos,Silencer,Clockwerk,Tidehunter,Monkey King,True
Morphling,Weaver,Pudge,Invoker,Shadow Shaman,Underlord,Disruptor,Phoenix,Nature's Prophet,Slark,False
Crystal Maiden,Anti-Mage,Brewmaster,Drow Ranger,Tinker,Invoker,Templar Assassin,Wraith King,Death Prophet,Dazzle,True
Clockwerk,Slark,Viper,Sven,Invoker,Lycan,Drow Ranger,Witch Doctor,Rubick,Zeus,False
Dragon Knight,Lifestealer,Windranger,Enchantress,Spectre,Venomancer,Abaddon,Puck,Legion Commander,Phantom Assassin,False
Nature's Prophet,Sven,Lich,Kunkka,Invoker,Pudge,Sniper,Keeper of the Light,Spirit Breaker,Phantom Lancer,False
Juggernaut,Invoker,Shadow Shaman,Legion Commander,Venomancer,Pudge,Huskar,Jakiro,Silencer,Clinkz,False
Dazzle,Outworld Devourer,Lina,Phantom Assassin,Necrophos,Slark,Spectre,Lifestealer,Bane,Bounty Hunter,True
Spirit Breaker,Pugna,Death Prophet,Huskar,Ogre Magi,Lina,Tiny,Lifestealer,Legion Commander,Crystal Maiden,True
Zeus,Troll Warlord,Timbersaw,Axe,Necrophos,Nature's Prophet,Legion Commander,Viper,Slark,Pudge,True
Bristleback,Phantom Assassin,Jakiro,Sven,Axe,Dragon Knight,Juggernaut,Pudge,Invoker,Keeper of the Light,False
Monkey King,Lifestealer,Witch Doctor,Juggernaut,Undying,Anti-Mage,Viper,Bristleback,Lina,Treant Protector,True
Phantom Assassin,Lifestealer,Bloodseeker,Juggernaut,Sniper,Drow Ranger,Clinkz,Dragon Knight,Bristleback,Crystal Maiden,True
Bloodseeker,Pudge,Spirit Breaker,Necrophos,Monkey King,Lich,Brewmaster,Juggernaut,Invoker,Shadow Fiend,True
Lifestealer,Viper,Keeper of the Light,Oracle,Ursa,Centaur Warrunner,Dark Seer,Phantom Assassin,Wraith King,Terrorblade,True
Brewmaster,Alchemist,Skywrath Mage,Clinkz,Pudge,Keeper of the Light,Legion Commander,Elder Titan,Invoker,Tiny,True
Drow Ranger,Windranger,Bane,Abaddon,Bloodseeker,Sven,Mirana,Tusk,Omniknight,Venomancer,True
Legion Commander,Meepo,Necrophos,Pudge,Broodmother,Earthshaker,Phantom Assassin,Juggernaut,Spirit Breaker,Ember Spirit,True
Sven,Wraith King,Ancient Apparition,Lion,Shadow Fiend,Shadow Shaman,Axe,Lycan,Drow Ranger,Viper,False
Treant Protector,Night Stalker,Lina,Chen,Spectre,Ancient Apparition,Nyx Assassin,Death Prophet,Weaver,Lifestealer,False
Lich,Necrophos,Viper,Warlock,Doom,Pudge,Dragon Knight,Anti-Mage,Clockwerk,Bloodseeker,False
Invoker,Windranger,Viper,Bloodseeker,Pudge,Magnus,Weaver,Juggernaut,Lone Druid,Night Stalker,True
Riki,Mirana,Lycan,Zeus,Magnus,Slark,Morphling,Puck,Juggernaut,Sand King,True
Legion Commander,Ember Spirit,Ursa,Lifestealer,Shadow Shaman,Monkey King,Tidehunter,Sniper,Templar Assassin,Drow Ranger,True
Lich,Phantom Assassin,Ursa,Sniper,Clinkz,Tiny,Faceless Void,Monkey King,Bristleback,Wraith King,True
Witch Doctor,Winter Wyvern,Ursa,Slark,Mirana,Timbersaw,Earthshaker,Monkey King,Doom,Omniknight,False
Pugna,Enigma,Drow Ranger,Anti-Mage,Ursa,Dragon Knight,Luna,Queen of Pain,Lion,Windranger,True
Sven,Viper,Vengeful Spirit,Oracle,Legion Commander,Bane,Earthshaker,Dazzle,Outworld Devourer,Huskar,False
Queen of Pain,Juggernaut,Troll Warlord,Gyrocopter,Sniper,Timbersaw,Witch Doctor,Pudge,Ember Spirit,Bane,True
Invoker,Ursa,Wraith King,Spirit Breaker,Lion,Juggernaut,Earthshaker,Bloodseeker,Riki,Sand King,False
Chaos Knight,Viper,Undying,Crystal Maiden,Bane,Clinkz,Vengeful Spirit,Shadow Demon,Phantom Assassin,Razor,True
Sven,Centaur Warrunner,Shadow Shaman,Viper,Spirit Breaker,Rubick,Pudge,Omniknight,Faceless Void,Earthshaker,False
Bounty Hunter,Storm Spirit,Windranger,Monkey King,Ancient Apparition,Keeper of the Light,Faceless Void,Bloodseeker,Viper,Necrophos,False
Legion Commander,Faceless Void,Spirit Breaker,Invoker,Huskar,Shadow Shaman,Necrophos,Ursa,Storm Spirit,Pudge,False
Tusk,Dazzle,Necrophos,Sven,Anti-Mage,Pugna,Spectre,Bounty Hunter,Monkey King,Silencer,True
Phantom Assassin,Dark Seer,Spirit Breaker,Venomancer,Kunkka,Broodmother,Skywrath Mage,Nyx Assassin,Razor,Slark,True
Broodmother,Centaur Warrunner,Wraith King,Pudge,Ogre Magi,Lina,Treant Protector,Viper,Sven,Windranger,True
Earthshaker,Mirana,Pudge,Queen of Pain,Sniper,Spirit Breaker,Slark,Phoenix,Invoker,Bloodseeker,False
Invoker,Juggernaut,Earth Spirit,Slardar,Keeper of the Light,Clinkz,Lifestealer,Silencer,Tusk,Bloodseeker,False
Bloodseeker,Invoker,Tiny,Magnus,Pugna,Night Stalker,Sniper,Troll Warlord,Bristleback,Keeper of the Light,True
Rubick,Nature's Prophet,Juggernaut,Gyrocopter,Invoker,Necrophos,Shadow Fiend,Huskar,Mirana,Crystal Maiden,True
Troll Warlord,Bloodseeker,Night Stalker,Monkey King,Sniper,Lich,Windranger,Phoenix,Tiny,Ogre Magi,True
Luna,Juggernaut,Clinkz,Windranger,Bloodseeker,Axe,Invoker,Ember Spirit,Pudge,Wraith King,True
Earthshaker,Alchemist,Bloodseeker,Mirana,Shadow Fiend,Ember Spirit,Ancient Apparition,Techies,Medusa,Kunkka,True
Sven,Medusa,Crystal Maiden,Viper,Anti-Mage,Phantom Assassin,Timbersaw,Slark,Zeus,Nyx Assassin,True
Shadow Fiend,Disruptor,Witch Doctor,Drow Ranger,Axe,Ogre Magi,Storm Spirit,Weaver,Slark,Lina,True
Outworld Devourer,Omniknight,Tiny,Pudge,Faceless Void,Monkey King,Riki,Venomancer,Axe,Shadow Fiend,False
Earthshaker,Lina,Huskar,Lion,Spirit Breaker,Morphling,Anti-Mage,Vengeful Spirit,Clockwerk,Bloodseeker,True
Morphling,Bane,Winter Wyvern,Juggernaut,Mirana,Tiny,Bounty Hunter,Pugna,Phantom Assassin,Lifestealer,True
Weaver,Treant Protector,Clockwerk,Visage,Drow Ranger,Elder Titan,Spirit Breaker,Phantom Lancer,Underlord,Lina,False
Venomancer,Crystal Maiden,Clockwerk,Spirit Breaker,Anti-Mage,Earthshaker,Wraith King,Queen of Pain,Disruptor,Necrophos,False
Leshrac,Viper,Ogre Magi,Meepo,Ember Spirit,Shadow Demon,Luna,Spectre,Venomancer,Witch Doctor,True
Luna,Slark,Medusa,Tiny,Visage,Phantom Assassin,Enigma,Naga Siren,Lion,Huskar,True
Weaver,Ursa,Lion,Faceless Void,Viper,Venomancer,Earthshaker,Juggernaut,Tidehunter,Chen,True
Bloodseeker,Vengeful Spirit,Invoker,Spectre,Lion,Magnus,Pudge,Centaur Warrunner,Phantom Assassin,Skywrath Mage,True
Night Stalker,Troll Warlord,Tinker,Jakiro,Phantom Assassin,Clockwerk,Warlock,Faceless Void,Morphling,Bounty Hunter,True
Batrider,Medusa,Legion Commander,Elder Titan,Vengeful Spirit,Night Stalker,Juggernaut,Lina,Bloodseeker,Necrophos,False
Tinker,Puck,Huskar,Crystal Maiden,Mirana,Medusa,Earthshaker,Faceless Void,Lich,Abaddon,True
Anti-Mage,Monkey King,Keeper of the Light,Witch Doctor,Disruptor,Viper,Storm Spirit,Doom,Templar Assassin,Huskar,False
